Episode,TotalReward
1,-32.44
2,-52.839999999999996
3,-38.800000000000004
4,-18.453333333333333
5,-8.466666666666667
6,-35.9
7,-3.4799999999999986
8,-8.320000000000002
9,-40.013333333333335
10,-51.42666666666666
11,-40.74666666666667
12,-28.373333333333335
13,-26.24666666666667
14,-13.98
15,-61.459999999999994
16,-46.97333333333333
17,10.833333333333329
18,9.046666666666663
19,-24.673333333333332
20,6.173333333333333
21,1.759999999999998
22,-20.726666666666667
23,2.7199999999999998
24,-21.32
25,-13.673333333333332
26,-6.379999999999996
27,-17.04
28,0.7133333333333356
29,27.56
30,-12.693333333333332
31,-29.919999999999995
32,-4.2666666666666675
33,-16.126666666666665
34,-10.046666666666667
35,-25.153333333333332
36,16.766666666666666
37,-23.799999999999997
38,5.893333333333333
39,-34.54
40,-4.273333333333333
41,-11.673333333333334
42,-18.36
43,-1.1600000000000001
44,-0.19333333333333513
45,-18.680000000000003
46,-43.126666666666665
47,6.24666666666667
48,-13.626666666666667
49,-22.959999999999997
50,-64.26
51,-24.833333333333332
52,-3.1999999999999993
53,-18.57333333333333
54,5.48
55,-38.52000000000001
56,-15.173333333333332
57,13.493333333333332
58,-16.573333333333338
59,-24.21333333333333
60,-35.42666666666666
61,-10.720000000000004
62,-25.353333333333335
63,10.886666666666667
64,25.419999999999995
65,5.266666666666667
66,-1.820000000000003
67,-5.820000000000003
68,-11.60666666666667
69,-18.32
70,-16.533333333333335
71,17.239999999999988
72,13.473333333333326
73,-47.24
74,-3.3866666666666654
75,12.07333333333333
76,7.679999999999995
77,-25.140000000000004
78,-8.92
79,-31.766666666666662
80,-18.266666666666666
81,2.4533333333333323
82,-9.453333333333333
83,-32.93333333333334
84,10.18666666666666
85,-7.206666666666667
86,-7.786666666666666
87,-10.586666666666666
88,-36.373333333333335
89,-30.520000000000003
90,29.426666666666666
91,6.160000000000001
92,-15.033333333333335
93,32.65999999999998
94,14.799999999999997
95,10.860000000000003
96,6.699999999999998
97,13.146666666666665
98,-14.353333333333335
99,-10.139999999999999
100,28.11999999999998
